name,rating,reviews,category,hq,no_of_branches,salary,no_of_interviews,jobs
TCS,3.5,1L,IT Services & Consulting ,Bangalore / Bengaluru,412,9.4L,11.2k,115
Accenture,3.7,65k,IT Services & Consulting ,Bangalore / Bengaluru,229,6.2L,8.8k,19.8k
Wipro,3.7,58.5k,IT Services & Consulting ,Bangalore / Bengaluru,358,4.7L,6.2k,7.1k
Cognizant,3.7,55.6k,IT Services & Consulting ,Hyderabad / Secunderabad,213,6L,6k,295
Capgemini,3.7,47.3k,IT Services & Consulting ,Bangalore / Bengaluru,175,4.7L,5.1k,1.8k
HDFC Bank,3.8,44.8k,Banking ,Mumbai,1717,1.4L,2.6k,257
Infosys,3.6,43.8k,IT Services & Consulting ,Bangalore / Bengaluru,231,5L,8k,1.7k
ICICI Bank,4.0,42.9k,Banking ,Mumbai,1406,1.5L,2.7k,29
HCLTech,3.5,40.7k,IT Services & Consulting ,Chennai,217,3.6L,4.2k,433
Tech Mahindra,3.5,39k,IT Services & Consulting ,Hyderabad / Secunderabad,321,2.8L,4.2k,489
Genpact,3.7,36.9k,IT Services & Consulting ,Hyderabad / Secunderabad,163,2.2L,3.5k,344
Teleperformance,3.9,33.4k,BPO ,Mumbai,247,93.3k,2k,532
Concentrix Corporation,3.7,29.1k,BPO ,Bangalore / Bengaluru,168,1.3L,1.8k,104
Axis Bank,3.7,29k,Banking ,Mumbai,1441,1L,1.7k,901
Amazon,4.0,27.9k,Internet ,Bangalore / Bengaluru,500,1.4L,5.4k,2.4k
Jio,4.2,27.2k,Telecom ,Mumbai,1629,61.5k,2.5k,50
iEnergizer,4.7,25.5k,BPO ,Noida,45,23.1k,831,37
Reliance Retail,3.9,24.7k,Retail ,Mumbai,1107,68.7k,1.7k,75
IBM,3.9,23.9k,IT Services & Consulting ,Bangalore / Bengaluru,157,2.1L,2.5k,2.4k
LTIMindtree,3.7,23.2k,IT Services & Consulting ,Bangalore / Bengaluru,135,1.8L,3.1k,394
HDB Financial Services,3.9,22.8k,NBFC ,Mumbai,1043,50.2k,943,273
Larsen & Toubro Limited,3.9,20.9k,Engineering & Construction ,Chennai,715,71.1k,1.6k,892
Deloitte,3.7,20.3k,Management Consulting ,Hyderabad / Secunderabad,170,2.2L,3.1k,1.7k
Kotak Mahindra Bank,3.7,19.7k,Banking ,Mumbai,655,85.5k,1.2k,122
Reliance Industries,4.0,17.9k,Oil & Gas ,Jamnagar,772,68.7k,1.4k,62
Vodafone Idea,4.0,16.5k,Telecom ,Pune,692,51.2k,604,36
BYJU'S,3.1,16.4k,EdTech ,Bangalore / Bengaluru,321,56.9k,2.1k,--
Bharti Airtel,3.9,15.4k,Telecom ,Gurgaon / Gurugram,753,47.8k,984,493
WNS,3.3,13.4k,BPO ,Pune,57,67.8k,1.1k,97
Tata Motors,4.1,13.2k,Automobile ,Pune,491,41.1k,1.1k,168
AU Small Finance Bank,4.2,12.7k,Banking ,Jaipur,735,27k,599,80
IndusInd Bank,3.5,12.4k,Banking ,Mumbai,765,50.1k,697,112
Ernst & Young,3.4,12.4k,Management Consulting ,Bangalore / Bengaluru,122,1.3L,1.2k,660
IDFC FIRST Bank,3.9,12.2k,Banking ,Mumbai,679,46.8k,789,28
Flipkart,3.9,11.7k,Internet ,Bangalore / Bengaluru,547,50.8k,1.5k,158
DXC Technology,3.6,11k,IT Services & Consulting ,Bangalore / Bengaluru,129,72.4k,848,227
Infosys BPM,3.5,10.9k,BPO ,Bangalore / Bengaluru,88,69.9k,1k,102
Mahindra & Mahindra,4.1,10.8k,Automobile ,Pune,535,37.3k,758,27
PwC,3.3,10.8k,Management Consulting ,Bangalore / Bengaluru,123,1.1L,1.5k,1.1k
Bajaj Finserv,3.9,10.8k,Financial Services ,Pune,1067,28.7k,617,32
HDFC Life,3.9,10.5k,Insurance ,Mumbai,655,31.6k,700,138
Conneqt Business Solutions,3.6,9.5k,BPO ,Hyderabad / Secunderabad,255,26.6k,521,376
Mphasis,3.3,9.3k,IT Services & Consulting ,Bangalore / Bengaluru,58,71.4k,864,56
Bandhan Bank,3.7,9.1k,Banking ,Kolkata,935,24k,649,20
Yes Bank,3.7,8.9k,Banking ,Mumbai,510,42.2k,493,186
Tata Steel,4.0,8.6k,Iron & Steel ,Jamshedpur,214,31.3k,945,--
Startek,3.1,8.5k,BPO ,Bangalore / Bengaluru,102,24.2k,548,79
Quess,3.8,8.4k,IT Services & Consulting ,Bangalore / Bengaluru,674,29.5k,476,25
Muthoot Fincorp,4.5,8.4k,NBFC ,Bangalore / Bengaluru,947,8.7k,832,56
Asian Paints,4.0,8.3k,Chemicals ,Mumbai,514,24.3k,731,188
Paytm,3.3,8.3k,FinTech ,Noida,381,32.6k,816,568
UltraTech Cement,4.2,8.1k,Building Material ,Mumbai,504,22.4k,687,103
Shriram Finance,4.0,8k,NBFC ,Chennai,1053,14.4k,390,10
Maruti Suzuki,4.1,8k,Automobile ,Gurgaon / Gurugram,418,26k,671,501
EXL Service,3.7,7.9k,IT Services & Consulting ,Noida,60,42.6k,817,183
Samsung,3.9,7.8k,Consumer Electronics & Appliances ,Noida,557,25.5k,584,50
Sutherland Global Services,3.5,7.8k,BPO ,Chennai,73,31.6k,721,285
Ericsson,4.1,7.8k,Telecom ,Noida,158,41.9k,443,169
Bajaj Finance,4.0,7.7k,NBFC ,Pune,891,21.3k,365,404
Cipla,4.1,7.6k,Pharma ,Mumbai,278,25.2k,538,184
Dr. Reddy's,4.0,7.4k,Pharma ,Hyderabad / Secunderabad,202,24.8k,442,36
Wells Fargo,3.8,7.4k,Financial Services ,Bangalore / Bengaluru,28,52k,629,354
HGS,3.8,7.2k,BPO ,Bangalore / Bengaluru,117,21.9k,257,19
Amazon Development Centre India,4.0,7.1k,Internet ,Hyderabad / Secunderabad,145,35.4k,829,9
ICICI Prudential Life Insurance,4.0,7k,Insurance ,Mumbai,491,22.5k,443,410
Optum Global Solutions,4.0,6.9k,IT Services & Consulting ,Hyderabad / Secunderabad,58,44.2k,699,184
JPMorgan Chase & Co.,3.9,6.9k,Financial Services ,Bangalore / Bengaluru,51,78k,807,760
Delhivery,3.8,6.8k,Logistics ,Gurgaon / Gurugram,710,19.6k,538,130
Jana Small Finance Bank,3.8,6.8k,Banking ,Bangalore / Bengaluru,397,13.9k,273,--
Sun Pharmaceutical Industries,4.1,6.8k,Pharma ,Vadodara,253,21.7k,563,319
Hexaware Technologies,3.5,6.7k,IT Services & Consulting ,Chennai,66,50.3k,774,294
JSW Steel,3.9,6.7k,Iron & Steel ,Ballari,173,28.3k,687,113
Lupin,4.1,6.7k,Pharma ,Pune,193,22.3k,386,65
L&T Construction,4.0,6.7k,Engineering & Construction ,Chennai,407,18.6k,850,--
Zydus Lifesciences,4.0,6.6k,Pharma ,Ahmedabad,171,19.2k,370,16
Hindustan Unilever,4.2,6.5k,FMCG ,Mumbai,505,19.6k,412,28
Equitas Small Finance Bank,4.4,6.5k,Banking ,Chennai,436,12.5k,486,1.3k
KPMG India,3.4,6.4k,Management Consulting ,Bangalore / Bengaluru,104,59.4k,855,1.4k
ITC,3.9,6.3k,FMCG ,Bangalore / Bengaluru,359,23k,616,81
Ekart Logistics,3.9,6.2k,,Bangalore / Bengaluru,705,14.7k,360,1
Axis Max Life Insurance,4.0,6.2k,Insurance ,New Delhi,470,18.4k,362,323
Ujjivan Small Finance Bank,4.0,6.1k,Banking ,Bangalore / Bengaluru,505,12.4k,274,139
FIS,3.9,6k,FinTech ,Pune,58,37.8k,510,57
Tata Projects,4.2,5.9k,Engineering & Construction ,Mumbai,267,21.4k,515,26
